fecha_lectura,nombre_parking,plazas_libres,capacidad_total,estado
2026-01-12 17:55:21,Sablassou,315,379,Open
2026-01-12 17:55:21,Saint Jean Le Sec,225,285,Open
2026-01-12 17:55:21,Euromedecine,91,239,Open
2026-01-12 17:55:21,Occitanie,420,615,Open
2026-01-12 17:55:21,Vicarello,33,64,Open
2026-01-12 17:55:21,Gaumont EST,74,109,Open
2026-01-12 17:55:21,Gaumont OUEST,5,250,Open
2026-01-12 17:55:21,Charles de Gaulle,124,260,Open
2026-01-12 17:55:21,Polygone,1013,1911,Open
2026-01-12 17:55:21,Arc de Triomphe,111,440,Open
2026-01-12 17:55:21,Gaumont-Circe,199,500,Open
2026-01-12 19:00:45,Antigone,137,239,Open
2026-01-12 19:00:45,Comedie,349,664,Open
2026-01-12 19:00:45,Corum,261,480,Open
2026-01-12 19:00:45,Europa,458,591,Open
2026-01-12 19:00:45,Foch,531,620,Open
2026-01-12 19:00:45,Gambetta,181,452,Open
2026-01-12 19:00:45,Gare,291,656,Open
2026-01-12 19:00:45,Triangle,274,434,Open
2026-01-12 19:00:45,Pitot,403,590,Open
2026-01-12 19:00:45,Circe,1150,1200,Open
2026-01-12 19:00:45,Garcia Lorca,380,400,Open
2026-01-12 19:00:45,Mosson,291,328,Open
2026-01-12 19:00:45,Sabines,170,285,Open
2026-01-12 19:00:45,Sablassou,340,379,Open
2026-01-12 19:00:45,Saint Jean Le Sec,232,285,Open
2026-01-12 19:00:45,Euromedecine,104,239,Open
2026-01-12 19:00:45,Occitanie,482,615,Open
2026-01-12 19:00:45,Vicarello,40,64,Open
2026-01-12 19:00:45,Gaumont EST,74,109,Open
2026-01-12 19:00:45,Gaumont OUEST,5,250,Open
2026-01-12 19:00:45,Charles de Gaulle,129,260,Open
2026-01-12 19:00:45,Polygone,1013,1911,Open
2026-01-12 19:00:45,Arc de Triomphe,131,440,Open
2026-01-12 19:00:45,Gaumont-Circe,199,500,Open
2026-01-12 19:41:26,Antigone,138,239,Open
2026-01-12 19:41:26,Comedie,334,664,Open
2026-01-12 19:41:26,Corum,257,480,Open
2026-01-12 19:41:26,Europa,465,591,Open
2026-01-12 19:41:26,Foch,526,620,Open
2026-01-12 19:41:26,Gambetta,183,452,Open
2026-01-12 19:41:26,Gare,299,656,Open
2026-01-12 19:41:26,Triangle,274,434,Open
2026-01-12 19:41:26,Pitot,403,590,Open
2026-01-12 19:41:26,Circe,1160,1200,Open
2026-01-12 19:41:26,Garcia Lorca,386,400,Open
2026-01-12 19:41:26,Mosson,298,328,Open
2026-01-12 19:41:26,Sabines,176,285,Open
2026-01-12 19:41:26,Sablassou,345,379,Open
2026-01-12 19:41:26,Saint Jean Le Sec,235,285,Open
2026-01-12 19:41:26,Euromedecine,110,239,Open
2026-01-12 19:41:26,Occitanie,496,615,Open
2026-01-12 19:41:26,Vicarello,43,64,Open
2026-01-12 19:41:26,Gaumont EST,74,109,Open
2026-01-12 19:41:26,Gaumont OUEST,5,250,Open
2026-01-12 19:41:26,Charles de Gaulle,133,260,Open
2026-01-12 19:41:26,Polygone,1013,1911,Open
2026-01-12 19:41:26,Arc de Triomphe,138,440,Open
2026-01-12 19:41:26,Gaumont-Circe,199,500,Open
2026-01-12 19:50:32,Antigone,145,239,Open
2026-01-12 19:50:32,Comedie,335,664,Open
2026-01-12 19:50:32,Corum,259,480,Open
2026-01-12 19:50:32,Europa,465,591,Open
2026-01-12 19:50:32,Foch,528,620,Open
2026-01-12 19:50:32,Gambetta,186,452,Open
2026-01-12 19:50:32,Gare,297,656,Open
2026-01-12 19:50:32,Triangle,274,434,Open
2026-01-12 19:50:32,Pitot,403,590,Open
2026-01-12 19:50:32,Circe,1158,1200,Open
2026-01-12 19:50:32,Garcia Lorca,386,400,Open
2026-01-12 19:50:32,Mosson,299,328,Open
2026-01-12 19:50:32,Sabines,181,285,Open
2026-01-12 19:50:32,Sablassou,349,379,Open
2026-01-12 19:50:32,Saint Jean Le Sec,235,285,Open
2026-01-12 19:50:32,Euromedecine,110,239,Open
2026-01-12 19:50:32,Occitanie,499,615,Open
2026-01-12 19:50:32,Vicarello,43,64,Open
2026-01-12 19:50:32,Gaumont EST,74,109,Open
2026-01-12 19:50:32,Gaumont OUEST,5,250,Open
2026-01-12 19:50:32,Charles de Gaulle,137,260,Open
2026-01-12 19:50:32,Polygone,1013,1911,Open
2026-01-12 19:50:32,Arc de Triomphe,135,440,Open
2026-01-12 19:50:32,Gaumont-Circe,199,500,Open
2026-01-12 20:47:30,Antigone,147,239,Open
2026-01-12 20:47:30,Comedie,351,664,Open
2026-01-12 20:47:30,Corum,264,480,Open
2026-01-12 20:47:30,Europa,466,591,Open
2026-01-12 20:47:30,Foch,540,620,Open
2026-01-12 20:47:30,Gambetta,194,452,Open
2026-01-12 20:47:30,Gare,309,656,Open
2026-01-12 20:47:30,Triangle,274,434,Open
2026-01-12 20:47:30,Pitot,403,590,Open
2026-01-12 20:47:30,Circe,1161,1200,Open
2026-01-12 20:47:30,Garcia Lorca,388,400,Open
2026-01-12 20:47:30,Mosson,310,328,Open
2026-01-12 20:47:30,Sabines,184,285,Open
2026-01-12 20:47:30,Sablassou,355,379,Open
2026-01-12 20:47:30,Saint Jean Le Sec,237,285,Open
2026-01-12 20:47:30,Euromedecine,111,239,Open
2026-01-12 20:47:30,Occitanie,508,615,Open
2026-01-12 20:47:30,Vicarello,42,64,Open
2026-01-12 20:47:30,Gaumont EST,74,109,Open
2026-01-12 20:47:30,Gaumont OUEST,5,250,Open
2026-01-12 20:47:30,Charles de Gaulle,136,260,Open
2026-01-12 20:47:30,Polygone,1013,1911,Open
2026-01-12 20:47:30,Arc de Triomphe,138,440,Open
2026-01-12 20:47:30,Gaumont-Circe,199,500,Open
2026-01-12 21:39:27,Antigone,147,239,Open
2026-01-12 21:39:27,Comedie,396,664,Open
2026-01-12 21:39:27,Corum,284,480,Open
